"geojson","name","group_name","coverage","status","location","values"
"{""type"":""Polygon"",""coordinates"":[[[-117.11976,32.77487],[-117.12831,32.76933],[-117.12086,32.76412],[-117.11602,32.76211],[-117.11134,32.76576],[-117.11366,32.77519],[-117.11976,32.77487]]]}","523-1-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.01042,32.96077],[-117.00983,32.95097],[-117.00505,32.94016],[-116.97271,32.94279],[-116.98269,32.94644],[-116.99611,32.94594],[-116.99775,32.94745],[-116.99551,32.96328],[-117.01042,32.96077]]]}","511-5-2","None","In Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.26275,32.96191],[-117.26202,32.95184],[-117.25816,32.95074],[-117.25594,32.95558],[-117.25802,32.96369],[-117.27007,32.97464],[-117.27019,32.96886],[-117.2627,32.96165],[-117.26274,32.96158],[-117.26275,32.96191]]]}","5007-6-1","SD73XC142","In Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.25347,32.9924],[-117.24946,32.9847],[-117.23313,32.98362],[-117.22859,32.98957],[-117.2364,32.99487],[-117.24432,32.99198],[-117.2497,32.99318],[-117.25347,32.9924]]]}","507-5-2","None","No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.27509,33.06171],[-117.27088,33.06161],[-117.2687,33.04812],[-117.27807,33.04747],[-117.28039,33.04879],[-117.27814,33.05603],[-117.27645,33.0616],[-117.27474,33.06175],[-117.27474,33.06175],[-117.27509,33.06171]]]}","507-1-1","SD34XC837","In Car/No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.25858,33.05013],[-117.2365,33.04892],[-117.23511,33.0549],[-117.24279,33.05665],[-117.24875,33.05867],[-117.25732,33.05456],[-117.25898,33.05016],[-117.25832,33.05013],[-117.25858,33.05013]]]}","507-2-2","SD74XC050","In Car/No Coverage","Not Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.24192,33.0602],[-117.2334,33.05361],[-117.22902,33.05491],[-117.22826,33.06218],[-117.2287,33.06646],[-117.23588,33.0629],[-117.24118,33.06046],[-117.24196,33.06023],[-117.24192,33.0602]]]}","507-3-1","SD80XD036","No Coverage","Approved","Suburban","296"
"{""type"":""Polygon"",""coordinates"":[[[-117.26447,33.08409],[-117.26021,33.06861],[-117.25969,33.06824],[-117.24799,33.06808],[-117.24165,33.07484],[-117.24146,33.08278],[-117.25509,33.08533],[-117.26075,33.08665],[-117.26447,33.08409]]]}","506-7-1","SD74XC053","In Car/No Coverage","Not Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.18427,33.16886],[-117.19391,33.1653],[-117.19284,33.15453],[-117.18634,33.15277],[-117.17986,33.15559],[-117.17233,33.16239],[-117.17285,33.16356],[-117.18427,33.16886]]]}","504-5-1","None","in Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.17789,33.22465],[-117.16894,33.22673],[-117.16011,33.19738],[-117.14712,33.19798],[-117.1485,33.18396],[-117.16482,33.18143],[-117.17135,33.2009],[-117.17789,33.22465]]]}","504-3-2","None","In Car/No Coverage","No Solution","In Car","319"
"{""type"":""Polygon"",""coordinates"":[[[-117.14059,33.17276],[-117.15409,33.17023],[-117.1532,33.16005],[-117.15091,33.1543],[-117.13863,33.15711],[-117.1304,33.16716],[-117.12006,33.17484],[-117.12146,33.17543],[-117.12357,33.17631],[-117.12796,33.18192],[-117.13972,33.18264],[-117.14059,33.17276]]]}","504-4-1","None","No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.13298,33.13085],[-117.13805,33.12391],[-117.13628,33.11432],[-117.1184,33.11523],[-117.11403,33.12895],[-117.11404,33.13663],[-117.11966,33.13943],[-117.12455,33.12776],[-117.13298,33.13085]]]}","505-4-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.11756,33.14135],[-117.12247,33.14518],[-117.11476,33.15242],[-117.08546,33.14152],[-117.0886,33.1306],[-117.10544,33.13191],[-117.11773,33.14164],[-117.11721,33.14208],[-117.11756,33.14135]]]}","504-6-1","SD60XC087","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.20948,33.22062],[-117.21473,33.2119],[-117.21787,33.20496],[-117.21188,33.19523],[-117.19794,33.19257],[-117.20948,33.22062]]]}","504-1-2","SD34XC863","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.27567,33.16441],[-117.25831,33.16696],[-117.25321,33.16372],[-117.25054,33.1503],[-117.27019,33.14952],[-117.27567,33.16441]]]}","503-7-1","uptilt 7-159-2","No Coverage","No solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.22243,33.20053],[-117.22697,33.19225],[-117.22221,33.18621],[-117.20255,33.18049],[-117.19694,33.18345],[-117.21292,33.18918],[-117.21801,33.18961],[-117.21804,33.1995],[-117.22243,33.20053]]]}","504-2-3","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.22564,33.12604],[-117.21869,33.11655],[-117.20377,33.10132],[-117.18238,33.12722],[-117.21211,33.12759],[-117.21508,33.12283],[-117.21808,33.12875],[-117.22564,33.12604]]]}","506-4-1","SD72XC063","No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.31331,33.11994],[-117.30686,33.10498],[-117.30417,33.09826],[-117.29459,33.09963],[-117.29047,33.1078],[-117.29528,33.11317],[-117.29848,33.11406],[-117.30223,33.12077],[-117.31331,33.11994]]]}","506-1-1","SD60XC134","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.34331,33.17528],[-117.34531,33.17234],[-117.34196,33.16713],[-117.33118,33.16592],[-117.32158,33.17045],[-117.325,33.17396],[-117.34331,33.17528]]]}","503-4-2","SD54XC911","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.34887,33.18869],[-117.34978,33.18517],[-117.3428,33.18317],[-117.32939,33.18634],[-117.33051,33.19533],[-117.33711,33.1972],[-117.34199,33.1951],[-117.34344,33.19027],[-117.34887,33.18869]]]}","503-1-2","Take Split off 7-247","In Car/No Coverage","No solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.01922,32.57752],[-117.02831,32.57928],[-117.03224,32.57752],[-117.03178,32.57184],[-117.01807,32.57269],[-117.00143,32.57785],[-117.00136,32.58176],[-117.00921,32.58333],[-117.01014,32.57869],[-117.01922,32.57752]]]}","528-2-1","SD74XC080","in Car/No coverage","Not approve","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.00506,32.61776],[-116.99951,32.61854],[-116.98779,32.62643],[-116.98263,32.62956],[-116.98625,32.63093],[-116.99357,32.63054],[-116.99897,32.62571],[-117.00575,32.62428],[-117.00929,32.6201],[-117.00744,32.61789],[-117.00506,32.61776]]]}","527-1-1","None","In Car/No Coverage","No Solution","Suburban","None"
