"geojson","name","group_name","coverage","status","location","values"
"{""type"":""Polygon"",""coordinates"":[[[-117.24854,33.10946],[-117.2403,33.0985],[-117.24422,33.09234],[-117.23398,33.08858],[-117.22779,33.08726],[-117.22656,33.09105],[-117.23853,33.10768],[-117.24201,33.10862],[-117.2364,33.11128],[-117.2372,33.11506],[-117.24876,33.11031],[-117.24876,33.11031],[-117.24854,33.10946]]]}","506-3-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.79615,32.7596],[-116.84638,32.75848],[-116.82894,32.73009],[-116.82981,32.71578],[-116.83376,32.71626],[-116.79914,32.68403],[-116.67093,32.66826],[-116.633,32.77544],[-116.66119,32.78243],[-116.6679,32.79985],[-116.68542,32.79465],[-116.67814,32.77842],[-116.7241,32.79355],[-116.74869,32.78169],[-116.79615,32.7596]]]}","527-10-3","none","No Coverage","No solution","in Car","901,895,896,897"
"{""type"":""Polygon"",""coordinates"":[[[-116.8406,33.46127],[-116.93274,33.47185],[-116.85551,33.38977],[-116.78861,33.31816],[-116.6854,33.27789],[-116.62978,33.27583],[-116.59684,33.2805],[-116.63187,33.31875],[-116.68053,33.36847],[-116.7577,33.40965],[-116.86448,33.46607],[-116.86448,33.46607],[-116.8406,33.46127]]]}","514-1-3","None","No Coverage","No Solution","In Car","1196-97,1201,1208-09,1205."
"{""type"":""Polygon"",""coordinates"":[[[-116.26662,33.26373],[-116.31084,33.26971],[-116.33104,33.30033],[-116.2194,33.33973],[-116.01208,33.28962],[-115.97829,33.26646],[-116.01371,33.24577],[-116.17921,33.26509],[-116.26662,33.26373]]]}","541-1-3","None","No Coverage","No Solution","In Car","332,232,1669,1100,1097-98,1674,1672,1676,1680"
"{""type"":""Polygon"",""coordinates"":[[[-116.32628,32.94393],[-116.26805,32.97568],[-116.16375,32.88949],[-115.97882,32.75523],[-115.98791,32.75072],[-116.04231,32.73434],[-116.14897,32.73053],[-116.32628,32.94393]]]}","541-2-3","None","No Coverage","No Solution","In Car","1588,1581,259"
"{""type"":""Polygon"",""coordinates"":[[[-116.87036,32.69494],[-116.8408,32.70573],[-116.80344,32.67153],[-116.74201,32.63561],[-116.67558,32.63171],[-116.60177,32.6315],[-116.59449,32.60982],[-116.59801,32.59318],[-116.6374,32.58122],[-116.68217,32.57968],[-116.77749,32.61528],[-116.82126,32.62534],[-116.87036,32.69494]]]}","527-9-2","SD72XC011,021,012, 022 and 023","No coverage","Approved","In Car","316, 324,847, 866"
"{""type"":""Polygon"",""coordinates"":[[[-116.92157,32.70373],[-116.91171,32.71413],[-116.89006,32.69787],[-116.92653,32.65792],[-116.94769,32.6671],[-116.91812,32.70664],[-116.91812,32.70664],[-116.92157,32.70373]]]}","527-5-3","SD73XC075","No Coverage","Approved","In Car","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.94278,32.65169],[-116.93,32.63128],[-116.88622,32.62084],[-116.84288,32.64369],[-116.85121,32.66244],[-116.89455,32.64541],[-116.92211,32.65126],[-116.94278,32.65169]]]}","527-8-3","SD74XC031","In Car/No Coverage","Not Approved","In Car","3483"
"{""type"":""Polygon"",""coordinates"":[[[-116.6646,32.84679],[-116.66506,32.84796],[-116.62689,32.84552],[-116.54409,32.84796],[-116.47855,32.80888],[-116.45274,32.74393],[-116.43025,32.73995],[-116.43689,32.70737],[-116.49522,32.70529],[-116.52163,32.74771],[-116.51126,32.79581],[-116.60771,32.81518],[-116.63908,32.78926],[-116.66062,32.80485],[-116.64766,32.8285],[-116.66191,32.83048],[-116.6646,32.84679]]]}","518-4-1","Sd72XC014,028 and 026","No coverage","Approved","in Car","10013,10014,914,321"
"{""type"":""Polygon"",""coordinates"":[[[-116.88016,32.85885],[-116.8881,32.85867],[-116.89275,32.86501],[-116.85872,32.8742],[-116.85399,32.86927],[-116.87214,32.85964],[-116.88096,32.85872],[-116.88096,32.85872],[-116.88096,32.85872],[-116.88016,32.85885]]]}","514-12-2","None","In Car/No Coverage","No Solution","Suburban","327"
"{""type"":""Polygon"",""coordinates"":[[[-117.12544,33.32241],[-117.09306,33.33099],[-117.08506,33.34938],[-117.07364,33.34939],[-117.06342,33.29527],[-117.05816,33.26886],[-117.0452,33.244],[-117.07416,33.23104],[-117.11483,33.22868],[-117.13456,33.22943],[-117.13272,33.24005],[-117.11887,33.25172],[-117.12537,33.26855],[-117.13464,33.28796],[-117.12544,33.32241]]]}","502-10-2","SD72XC031","No Coverage","Approved","In Car","245,310,1840-41,1845-46,2008,2010"
"{""type"":""Polygon"",""coordinates"":[[[-117.08865,33.21811],[-117.08927,33.19333],[-116.98545,33.18689],[-116.98065,33.17019],[-116.95021,33.17233],[-116.97936,33.20144],[-116.97839,33.23404],[-117.02135,33.23269],[-117.02134,33.21168],[-117.08128,33.21192],[-117.08865,33.21811]]]}","505-1-1","SD72XC002,SD72XC030","No Coverage","Approved","Suburban","298,302,358,363"
"{""type"":""Polygon"",""coordinates"":[[[-117.03413,33.1392],[-117.06169,33.15994],[-117.06331,33.18526],[-117.02326,33.18716],[-116.98769,33.18231],[-116.98481,33.16211],[-117.03061,33.14001],[-117.03413,33.1392]]]}","505-2-1","SD72XC102","No Coverage","Not Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.15805,32.9258],[-117.14828,32.92527],[-117.13614,32.92495],[-117.13471,32.92341],[-117.13462,32.91799],[-117.14113,32.91678],[-117.15303,32.9169],[-117.15756,32.91756],[-117.15876,32.92479],[-117.15876,32.92526],[-117.15805,32.9258]]]}","513-1-1","SD74XC008","In Car","Not Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.15176,32.91583],[-117.15136,32.91369],[-117.15103,32.90887],[-117.13151,32.90976],[-117.12991,32.90207],[-117.13595,32.89628],[-117.15279,32.89325],[-117.16798,32.89164],[-117.1737,32.89391],[-117.16619,32.91059],[-117.15176,32.91583]]]}","513-2-1","SD73XC087,SD60XC014,SD60XC114","In Car","Aproved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.59563,33.10604],[-116.59928,33.09055],[-116.58761,33.07157],[-116.58884,33.0268],[-116.58758,32.9678],[-116.5709,32.93071],[-116.52314,32.9835],[-116.48199,33.0307],[-116.49775,33.04541],[-116.5072,33.09324],[-116.59563,33.10604]]]}","514-5-2","SD72XC059,SD72XC034,SD72XC035,SD72XC040","No Coverage","Approved","In Car","10015,1550"
"{""type"":""Polygon"",""coordinates"":[[[-116.57145,32.92254],[-116.50273,32.9774],[-116.36975,32.8558],[-116.44596,32.82516],[-116.49238,32.82277],[-116.56736,32.92467],[-116.57145,32.92254]]]}","514-13-3","SD72XC057","No Coverage","Approved","In Car","1572,1568,1566"
"{""type"":""Polygon"",""coordinates"":[[[-116.96901,32.6353],[-116.96582,32.64008],[-116.95451,32.63948],[-116.94674,32.62632],[-116.94215,32.62033],[-116.95912,32.61675],[-116.97184,32.63261],[-116.97007,32.6335],[-116.96901,32.6353]]]}","527-6-1","SD55XC010,SD60XC075","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.10511,32.83877],[-117.09993,32.83704],[-117.09908,32.83562],[-117.09041,32.84112],[-117.08354,32.84255],[-117.07932,32.8393],[-117.07932,32.83919],[-117.07941,32.82313],[-117.08502,32.82506],[-117.08329,32.83543],[-117.09185,32.8342],[-117.09703,32.83288],[-117.09413,32.82362],[-117.10051,32.82412],[-117.10679,32.8347],[-117.10511,32.83877]]]}","516-1-1","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.66021,33.11657],[-116.67377,33.10432],[-116.6744,33.07975],[-116.64854,33.06011],[-116.61342,33.05682],[-116.60845,33.08184],[-116.59812,33.09546],[-116.59634,33.12867],[-116.66021,33.11657]]]}","514-4-2","SD72XC033,SD72XC060,SD72XC039","No Coverage","Approved","In Car","1158,10016,235,10017"
"{""type"":""Polygon"",""coordinates"":[[[-116.67072,33.05426],[-116.61887,33.04637],[-116.61021,32.92666],[-116.65557,32.92042],[-116.69923,32.93191],[-116.69623,33.02201],[-116.67072,33.05426]]]}","514-9-3","None","No Coverage","No Solution","in Car","1535-36,1533,1521,1524-26,1513,1510-11,1507-08"
"{""type"":""Polygon"",""coordinates"":[[[-116.69391,32.91096],[-116.61997,32.91668],[-116.56607,32.90558],[-116.56033,32.86642],[-116.58791,32.84922],[-116.63966,32.84984],[-116.71136,32.85458],[-116.70693,32.88824],[-116.69391,32.91096]]]}","514-14-3","SD72XC041","No Coverage","Approved","In Car","1502,1497-98,1493,1486-89"
"{""type"":""Polygon"",""coordinates"":[[[-117.1879,32.72308],[-117.19144,32.72375],[-117.19362,32.72563],[-117.19597,32.7293],[-117.19489,32.73225],[-117.18597,32.73241],[-117.18197,32.73072],[-117.18014,32.72715],[-117.1879,32.72308]]]}","521-3-1","SD55XC934","In Car/No Coverage","Approved","Urban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.07586,32.58899],[-117.07974,32.59401],[-117.07758,32.59575],[-117.0632,32.59691],[-117.06023,32.5917],[-117.06011,32.58436],[-117.06855,32.58184],[-117.07391,32.5829],[-117.07631,32.58957],[-117.07631,32.58957],[-117.07631,32.58957],[-117.07586,32.58899]]]}","526-1-2","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.09797,32.57149],[-117.10425,32.57399],[-117.11691,32.57166],[-117.12101,32.56905],[-117.10857,32.55911],[-117.09739,32.55671],[-117.09397,32.56193],[-117.09797,32.57149]]]}","528-1-1","SD72XC052","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.9563,32.56166],[-116.9458,32.56359],[-116.92732,32.56397],[-116.92505,32.55991],[-116.92437,32.55122],[-116.93851,32.54698],[-116.95265,32.54737],[-116.9579,32.54756],[-116.96269,32.55375],[-116.96155,32.55703],[-116.9563,32.56166]]]}","528-3-1","SD72XC056","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.23199,32.88598],[-117.23782,32.88896],[-117.24095,32.88283],[-117.23803,32.87915],[-117.23282,32.88056],[-117.23199,32.88598]]]}","512-3-1","None","In Car","No Solution","Urban","None"
"{""type"":""Polygon"",""coordinates"":[[[-115.60766,32.66112],[-115.56014,32.67024],[-115.55097,32.71303],[-115.55097,32.74179],[-115.58265,32.76564],[-115.61766,32.76423],[-115.60599,32.81825],[-115.6285,32.82316],[-115.64935,32.82316],[-115.64768,32.86525],[-115.59515,32.8926],[-115.59515,32.8926],[-115.60266,32.95573],[-115.69687,32.96485],[-115.73355,32.91084],[-115.74439,32.82245],[-115.73605,32.79229],[-115.73605,32.76143],[-115.84527,32.73547],[-115.84527,32.76984],[-115.8878,32.76564],[-115.88363,32.73337],[-115.95116,32.71232],[-115.9053,32.66182],[-115.60766,32.66112]]]}","541-3-1","SD72XC069-71-76","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-115.05113,32.72741],[-115.04899,32.70134],[-115.43991,32.67303],[-115.47894,32.73055],[-115.33509,32.74269],[-115.28108,32.731],[-115.15648,32.74628],[-115.05113,32.72741]]]}","542-1-1","SD72XC64-67, Sd72XC078","None","Approved","",""
"{""type"":""Polygon"",""coordinates"":[[[-115.39506,33.00223],[-115.36669,32.95785],[-115.30156,32.9323],[-115.29636,32.87547],[-115.39986,32.84353],[-115.50935,32.84655],[-115.51454,32.92254],[-115.46619,32.96222],[-115.4566,33.02375],[-115.40545,33.02342],[-115.39386,32.99954],[-115.39386,32.99954],[-115.39307,32.99921],[-115.39506,33.00223]]]}","542-2-1","SD72XC077","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.04121,33.35893],[-115.96768,33.26257],[-115.92772,33.17559],[-115.91653,33.11536],[-115.81104,33.13142],[-115.87178,33.27328],[-115.91973,33.35625],[-116.04121,33.35893]]]}","541-4-1","SD72XC047 and 049","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-115.80145,33.41246],[-115.81903,33.40577],[-115.76309,33.33083],[-115.60325,33.24785],[-115.52813,33.26257],[-115.6544,33.39373],[-115.80145,33.41246]]]}","542-3-1","SD72XC068","In Car","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.38658,33.20062],[-117.38658,33.20062],[-117.3859,33.19984],[-117.38658,33.20062]]]}","","","","","",""
"{""type"":""Polygon"",""coordinates"":[[[-117.38696,33.2013],[-117.39039,33.20095],[-117.37945,33.18685],[-117.37746,33.18521],[-117.37501,33.1867],[-117.38459,33.19793],[-117.38575,33.20019],[-117.38693,33.20132],[-117.38696,33.2013]]]}","501-4-1","SD60XR014","In Car/ No Coverage","Approved","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.38691,33.20129],[-117.38693,33.20131],[-117.38692,33.20132],[-117.38692,33.20131],[-117.38691,33.20131],[-117.38691,33.20129]]]}","","","","","",""
